Stove Type,Laser 56/560,Latitude,64.86001,Longitude,-147.913,,,
Timestamp of each PUMA device reading,State of the stove when powered on; depends on the stove type the PUMA device is attached to,Number of cumulative clicks since PuMA installation the fuel pump solenoid makes when the stove turns on,Number of clicks the fuel pump solenoid makes when the stove turns on per time interval,The amount of fuel consumed by the stove,The fuel consumption rate of the stove,Indoor temperature read by the thermistor monitored by the PUMA device,Outdoor temperature interpolated using area temperature data from Snotel,Temperature difference between the indoor and outdoor temperatures
"Time since 1970, 1, 1, 00:00:00 UTC (Unix time)",Integer units corresponding to power states; -1 indicates powered off,Number of cumulative clicks; -1 indicates stove powered off,Number of clicks,US gallons,US gallons per hour,F,F,F
1543258137.0,1,564,0,0.0,0.0,69.91,22.45,47.46
1543258192.0,2,1008,444,0.001290708,0.08448270545454545,73.54,22.43,51.11
1543258453.0,4,2578,1570,0.0045639899999999995,0.06295158620689655,73.76,22.37,51.39
1543258810.0,-1,-1,0,0.0,0.0,70.37,22.28,48.09
1543259110.0,-1,-1,0,0.0,0.0,69.21,22.36,46.85
1543259410.0,-1,-1,0,0.0,0.0,68.04,22.43,45.61
1543259709.0,-1,-1,0,0.0,0.0,68.04,22.51,45.53
1543259859.0,1,2581,3,8.721e-06,0.000209304,68.04,22.54,45.5
1543259916.0,2,3128,547,0.001590129,0.1004292,67.57,22.56,45.01
1543260090.0,1,4179,1051,0.003055257,0.06321221379310345,67.57,22.6,44.97
1543260390.0,2,7352,3173,0.009223911,0.110686932,71.06,22.68,48.38
1543260746.0,-1,-1,0,0.0,0.0,71.74,22.77,48.97
1543260977.0,4,10885,3533,0.010270431,0.16005866493506493,73.54,22.82,50.72
1543261334.0,-1,-1,0,0.0,0.0,71.06,22.91,48.15
1543261633.0,-1,-1,0,0.0,0.0,69.68,22.99,46.69
1543261933.0,-1,-1,0,0.0,0.0,68.75,23.06,45.69
1543262233.0,-1,-1,0,0.0,0.0,68.75,23.14,45.61
1543262533.0,-1,-1,0,0.0,0.0,68.51,23.25,45.26
1543262833.0,-1,-1,0,0.0,0.0,68.98,23.4,45.58
1543263033.0,1,10889,4,1.1628e-05,0.000209304,68.04,23.5,44.54
1543263089.0,2,11458,569,0.001654083,0.10633390714285715,68.51,23.52,44.99
1543263269.0,1,12540,1082,0.003145374,0.06290748,68.04,23.61,44.43
1543263505.0,2,15040,2500,0.0072675,0.11086016949152541,71.06,23.73,47.33
1543263715.0,4,16306,1266,0.0036802619999999997,0.06309020571428571,74.87,23.84,51.03
1543264072.0,-1,-1,0,0.0,0.0,71.97,24.02,47.95
1543264372.0,-1,-1,0,0.0,0.0,71.52,24.17,47.35
1543264671.0,-1,-1,0,0.0,0.0,71.97,24.32,47.65
1543264971.0,-1,-1,0,0.0,0.0,70.83,24.47,46.36
1543265271.0,-1,-1,0,0.0,0.0,69.68,24.62,45.06
1543265571.0,-1,-1,0,0.0,0.0,69.91,24.77,45.14
1543265871.0,-1,-1,0,0.0,0.0,70.14,24.92,45.22
1543266170.0,-1,-1,0,0.0,0.0,70.37,25.04,45.33
1543266470.0,-1,-1,0,0.0,0.0,69.45,25.14,44.31
1543266770.0,-1,-1,0,0.0,0.0,70.14,25.25,44.89
1543267070.0,-1,-1,0,0.0,0.0,70.14,25.35,44.79
1543267370.0,-1,-1,0,0.0,0.0,69.21,25.46,43.75
1543267669.0,-1,-1,0,0.0,0.0,68.98,25.56,43.42
1543267969.0,-1,-1,0,0.0,0.0,69.45,25.67,43.78
1543268269.0,-1,-1,0,0.0,0.0,68.98,25.77,43.21
1543268569.0,-1,-1,0,0.0,0.0,69.21,25.88,43.33
1543268869.0,-1,-1,0,0.0,0.0,68.98,25.98,43.0
1543269169.0,-1,-1,0,0.0,0.0,68.98,26.09,42.89
1543269468.0,-1,-1,0,0.0,0.0,69.21,26.19,43.02
1543269768.0,-1,-1,0,0.0,0.0,68.75,26.28,42.47
1543270068.0,-1,-1,0,0.0,0.0,68.51,26.36,42.15
1543270368.0,-1,-1,0,0.0,0.0,68.98,26.43,42.55
1543270668.0,-1,-1,0,0.0,0.0,68.04,26.51,41.53
1543270968.0,-1,-1,0,0.0,0.0,68.04,26.58,41.46
1543271268.0,-1,-1,0,0.0,0.0,68.04,26.66,41.38
1543271568.0,-1,-1,0,0.0,0.0,68.04,26.73,41.31
1543271867.0,-1,-1,0,0.0,0.0,68.28,26.81,41.47
1543271924.0,1,16710,404,0.001174428,0.07417439999999999,67.33,26.82,40.51
1543271980.0,2,17106,396,0.001151172,0.07400391428571429,68.28,26.84,41.44
1543272122.0,1,17960,854,0.002482578,0.0629385971830986,68.28,26.87,41.41
1543272457.0,2,21512,3552,0.010325664,0.11096235940298507,71.29,26.95,44.34
1543272676.0,4,22830,1318,0.0038314259999999998,0.06298234520547945,74.65,27.01,47.64
1543273033.0,-1,-1,0,0.0,0.0,70.14,27.1,43.04
1543273332.0,-1,-1,0,0.0,0.0,69.68,27.16,42.52
1543273632.0,-1,-1,0,0.0,0.0,69.21,27.2,42.01
1543273932.0,-1,-1,0,0.0,0.0,68.75,27.25,41.5
1543274232.0,-1,-1,0,0.0,0.0,68.75,27.29,41.46
1543274532.0,-1,-1,0,0.0,0.0,67.33,27.34,39.99
1543274831.0,-1,-1,0,0.0,0.0,67.8,27.38,40.42
1543274888.0,2,23341,511,0.001485477,0.0938196,68.04,27.39,40.65
1543275066.0,1,24411,1070,0.00311049,0.06290878651685393,68.28,27.42,40.86
1543275353.0,2,27458,3047,0.008857628999999999,0.11110614773519162,71.06,27.46,43.6
1543275607.0,4,28985,1527,0.004438989,0.06291480472440945,73.54,27.5,46.04
1543275964.0,-1,-1,0,0.0,0.0,71.06,27.55,43.51
1543276263.0,-1,-1,0,0.0,0.0,69.21,27.6,41.61
1543276563.0,-1,-1,0,0.0,0.0,68.98,27.64,41.34
1543276881.0,-1,-1,0,0.0,0.0,68.51,27.67,40.84
1543277181.0,-1,-1,0,0.0,0.0,68.51,27.64,40.87
1543277416.0,1,28988,3,8.721e-06,0.00013359829787234042,68.04,27.62,40.42
1543277473.0,2,29539,551,0.0016017569999999999,0.10116359999999999,68.75,27.61,41.14
1543277648.0,1,30597,1058,0.003075606,0.06326960914285713,68.04,27.6,40.44
1543277953.0,4,33827,3230,0.00938961,0.11082818360655738,71.06,27.56,43.5
1543278010.0,2,34168,341,0.000991287,0.0626076,72.42,27.56,44.86
1543278366.0,-1,-1,0,0.0,0.0,71.74,27.52,44.22
1543278665.0,-1,-1,0,0.0,0.0,72.65,27.49,45.16
1543278754.0,4,38646,4478,0.013017546,0.5265524224719101,73.09,27.48,45.61
1543279111.0,-1,-1,0,0.0,0.0,70.83,27.45,43.38
1543279410.0,-1,-1,0,0.0,0.0,69.45,27.42,42.03
1543279710.0,-1,-1,0,0.0,0.0,68.75,27.39,41.36
1543280010.0,-1,-1,0,0.0,0.0,68.75,27.36,41.39
1543280310.0,-1,-1,0,0.0,0.0,68.04,27.33,40.71
1543280610.0,-1,-1,0,0.0,0.0,68.04,27.2,40.84
1543280745.0,1,38652,6,1.7442e-05,0.00046511999999999996,67.8,27.13,40.67
1543280801.0,2,39202,550,0.00159885,0.10278321428571428,68.04,27.1,40.94
1543280976.0,1,40256,1054,0.0030639779999999998,0.06303040457142857,68.04,27.0,41.04
1543281272.0,4,43393,3137,0.009119259,0.11090990675675676,71.29,26.84,44.45
1543281329.0,2,43734,341,0.000991287,0.0626076,71.97,26.81,45.16
1543281685.0,-1,-1,0,0.0,0.0,71.74,26.61,45.13
1543281984.0,-1,-1,0,0.0,0.0,71.74,26.45,45.29
1543282284.0,-1,-1,0,0.0,0.0,72.42,26.28,46.14
1543282341.0,4,49819,6085,0.017689095,1.117206,73.09,26.25,46.84
1543282698.0,-1,-1,0,0.0,0.0,71.29,26.06,45.23
